Date,Close
1/2/2020 16:00:00,31.08
1/3/2020 16:00:00,30.75
1/6/2020 16:00:00,30.73
1/7/2020 16:00:00,30.53
1/8/2020 16:00:00,30.73
1/9/2020 16:00:00,30.92
1/10/2020 16:00:00,30.69
1/13/2020 16:00:00,30.9
1/14/2020 16:00:00,30.84
1/15/2020 16:00:00,30.67
1/16/2020 16:00:00,30.94
1/17/2020 16:00:00,31.03
1/21/2020 16:00:00,30.77
1/22/2020 16:00:00,30.86
1/23/2020 16:00:00,30.78
1/24/2020 16:00:00,30.39
1/27/2020 16:00:00,29.92
1/28/2020 16:00:00,30.27
1/29/2020 16:00:00,30.22
1/30/2020 16:00:00,30.6
1/31/2020 16:00:00,29.96
2/3/2020 16:00:00,30.17
2/4/2020 16:00:00,30.46
2/5/2020 16:00:00,31.07
2/6/2020 16:00:00,31.03
2/7/2020 16:00:00,30.92
2/10/2020 16:00:00,31.01
2/11/2020 16:00:00,31.12
2/12/2020 16:00:00,31.14
2/13/2020 16:00:00,31.13
2/14/2020 16:00:00,31.17
2/18/2020 16:00:00,30.9
2/19/2020 16:00:00,31.13
2/20/2020 16:00:00,31.07
2/21/2020 16:00:00,30.77
2/24/2020 16:00:00,29.77
2/25/2020 16:00:00,28.76
2/26/2020 16:00:00,28.55
2/27/2020 16:00:00,27.33
2/28/2020 16:00:00,26.59
3/2/2020 16:00:00,27.95
3/3/2020 16:00:00,26.9
3/4/2020 16:00:00,27.79
3/5/2020 16:00:00,26.45
3/6/2020 16:00:00,25.55
3/9/2020 16:00:00,22.81
3/10/2020 16:00:00,24.15
3/11/2020 16:00:00,22.84
3/12/2020 16:00:00,20.37
3/13/2020 16:00:00,23.05
3/16/2020 16:00:00,19.89
3/17/2020 16:00:00,20.97
3/18/2020 16:00:00,19.19
3/19/2020 16:00:00,19.61
3/20/2020 16:00:00,18.91
3/23/2020 16:00:00,17.66
3/24/2020 16:00:00,19.85
3/25/2020 16:00:00,20.39
3/26/2020 16:00:00,21.67
3/27/2020 16:00:00,21.01
3/30/2020 16:00:00,21.41
3/31/2020 16:00:00,20.82
4/1/2020 16:00:00,19.55
4/2/2020 16:00:00,20.04
4/3/2020 16:00:00,19.64
4/6/2020 16:00:00,21.05
4/7/2020 16:00:00,21.26
4/8/2020 16:00:00,22.19
4/9/2020 16:00:00,23.38
4/13/2020 16:00:00,22.53
4/14/2020 16:00:00,22.63
4/15/2020 16:00:00,21.65
4/16/2020 16:00:00,21.27
4/17/2020 16:00:00,22.39
4/20/2020 16:00:00,22
4/21/2020 16:00:00,21.29
4/22/2020 16:00:00,21.52
4/23/2020 16:00:00,21.43
4/24/2020 16:00:00,21.74
4/27/2020 16:00:00,22.48
4/28/2020 16:00:00,22.72
4/29/2020 16:00:00,23.38
4/30/2020 16:00:00,22.79
5/1/2020 16:00:00,22.06
5/4/2020 16:00:00,21.86
5/5/2020 16:00:00,21.79
5/6/2020 16:00:00,21.32
5/7/2020 16:00:00,21.82
5/8/2020 16:00:00,22.29
5/11/2020 16:00:00,21.86
5/12/2020 16:00:00,21.29
5/13/2020 16:00:00,20.66
5/14/2020 16:00:00,21.19
5/15/2020 16:00:00,21.05
5/18/2020 16:00:00,22.13
5/19/2020 16:00:00,21.59
5/20/2020 16:00:00,22.07
5/21/2020 16:00:00,22
5/22/2020 16:00:00,21.92
5/26/2020 16:00:00,23.06
5/27/2020 16:00:00,24.06
5/28/2020 16:00:00,23.68
5/29/2020 16:00:00,23.41
6/1/2020 16:00:00,23.68
6/2/2020 16:00:00,23.87
6/3/2020 16:00:00,24.76
6/4/2020 16:00:00,25.3
6/5/2020 16:00:00,26.24
6/8/2020 16:00:00,26.74
6/9/2020 16:00:00,26.17
6/10/2020 16:00:00,25.19
6/11/2020 16:00:00,23.13
6/12/2020 16:00:00,23.83
6/15/2020 16:00:00,24.16
6/16/2020 16:00:00,24.54
6/17/2020 16:00:00,24.17
6/18/2020 16:00:00,24.14
6/19/2020 16:00:00,23.98
6/22/2020 16:00:00,23.71
6/23/2020 16:00:00,23.82
6/24/2020 16:00:00,22.98
6/25/2020 16:00:00,23.59
6/26/2020 16:00:00,22.58
6/29/2020 16:00:00,22.83
6/30/2020 16:00:00,23.14
7/1/2020 16:00:00,22.94
7/2/2020 16:00:00,22.97
7/6/2020 16:00:00,23.41
7/7/2020 16:00:00,22.93
7/8/2020 16:00:00,23.17
7/9/2020 16:00:00,22.68
7/10/2020 16:00:00,23.46
7/13/2020 16:00:00,23.56
7/14/2020 16:00:00,23.68
7/15/2020 16:00:00,24.15
7/16/2020 16:00:00,24.15
7/17/2020 16:00:00,23.95
7/20/2020 16:00:00,23.84
7/21/2020 16:00:00,24.31
7/22/2020 16:00:00,24.31
7/23/2020 16:00:00,24.33
7/24/2020 16:00:00,24.27
7/27/2020 16:00:00,24.07
7/28/2020 16:00:00,24.01
7/29/2020 16:00:00,24.46
7/30/2020 16:00:00,24.02
7/31/2020 16:00:00,24.03
8/3/2020 16:00:00,24.1
8/4/2020 16:00:00,24
8/5/2020 16:00:00,24.33
8/6/2020 16:00:00,24.32
8/7/2020 16:00:00,24.84
8/10/2020 16:00:00,25.02
8/11/2020 16:00:00,25.31
8/12/2020 16:00:00,25.24
