Date,Close
1/2/2020 16:00:00,83.01
1/3/2020 16:00:00,82.85
1/6/2020 16:00:00,82.88
1/7/2020 16:00:00,82.71
1/8/2020 16:00:00,82.99
1/9/2020 16:00:00,83.34
1/10/2020 16:00:00,82.75
1/13/2020 16:00:00,83.43
1/14/2020 16:00:00,83.44
1/15/2020 16:00:00,83.57
1/16/2020 16:00:00,84.4
1/17/2020 16:00:00,84.41
1/21/2020 16:00:00,83.48
1/22/2020 16:00:00,83.04
1/23/2020 16:00:00,83.94
1/24/2020 16:00:00,83.55
1/27/2020 16:00:00,81.97
1/28/2020 16:00:00,82.5
1/29/2020 16:00:00,82.94
1/30/2020 16:00:00,83.03
1/31/2020 16:00:00,81.11
2/3/2020 16:00:00,81.08
2/4/2020 16:00:00,82.61
2/5/2020 16:00:00,83.99
2/6/2020 16:00:00,84.26
2/7/2020 16:00:00,83.65
2/10/2020 16:00:00,84.12
2/11/2020 16:00:00,84.44
2/12/2020 16:00:00,85.23
2/13/2020 16:00:00,84.75
2/14/2020 16:00:00,84.64
2/18/2020 16:00:00,84.16
2/19/2020 16:00:00,84.13
2/20/2020 16:00:00,84.01
2/21/2020 16:00:00,83.59
2/24/2020 16:00:00,81.21
2/25/2020 16:00:00,77.9
2/26/2020 16:00:00,77.31
2/27/2020 16:00:00,74.44
2/28/2020 16:00:00,73.08
3/2/2020 16:00:00,75.65
3/3/2020 16:00:00,73.8
3/4/2020 16:00:00,76.85
3/5/2020 16:00:00,73.09
3/6/2020 16:00:00,72.45
3/9/2020 16:00:00,65.77
3/10/2020 16:00:00,69.18
3/11/2020 16:00:00,65.12
3/12/2020 16:00:00,58.38
3/13/2020 16:00:00,62.94
3/16/2020 16:00:00,55.8
3/17/2020 16:00:00,58.37
3/18/2020 16:00:00,54.07
3/19/2020 16:00:00,54.11
3/20/2020 16:00:00,51.4
3/23/2020 16:00:00,48.77
3/24/2020 16:00:00,54.94
3/25/2020 16:00:00,57.83
3/26/2020 16:00:00,61.48
3/27/2020 16:00:00,58.89
3/30/2020 16:00:00,59.75
3/31/2020 16:00:00,59.01
4/1/2020 16:00:00,56.35
4/2/2020 16:00:00,57.1
4/3/2020 16:00:00,56.34
4/6/2020 16:00:00,60.24
4/7/2020 16:00:00,60.1
4/8/2020 16:00:00,62.28
4/9/2020 16:00:00,63.22
4/13/2020 16:00:00,61.37
4/14/2020 16:00:00,62.54
4/15/2020 16:00:00,60.81
4/16/2020 16:00:00,60.27
4/17/2020 16:00:00,63.1
4/20/2020 16:00:00,61.42
4/21/2020 16:00:00,59.97
4/22/2020 16:00:00,60.6
4/23/2020 16:00:00,61.08
4/24/2020 16:00:00,61.57
4/27/2020 16:00:00,63.1
4/28/2020 16:00:00,64.28
4/29/2020 16:00:00,65.51
4/30/2020 16:00:00,64.21
5/1/2020 16:00:00,62.27
5/4/2020 16:00:00,61.48
5/5/2020 16:00:00,61.72
5/6/2020 16:00:00,60.87
5/7/2020 16:00:00,61.58
5/8/2020 16:00:00,63.11
5/11/2020 16:00:00,62.32
5/12/2020 16:00:00,60.57
5/13/2020 16:00:00,59.05
5/14/2020 16:00:00,59.67
5/15/2020 16:00:00,59.46
5/18/2020 16:00:00,63.38
